Season,Injury,From,Until,Days,GamesMissed,Player,PlayerID,Weeks
20/21,Ligament stretching,2021-03-29,2021-04-21,23.0,7,Robert Lewandowski,38253,3.3
20/21,Rest,2020-10-30,2020-11-01,2.0,1,Robert Lewandowski,38253,0.3
19/20,Shin injury,2020-02-26,2020-03-25,28.0,3,Robert Lewandowski,38253,4.0
19/20,Groin surgery,2019-12-21,2020-01-16,26.0,1,Robert Lewandowski,38253,3.7
17/18,Rest,2018-03-12,2018-03-12,0.0,-,Robert Lewandowski,38253,0.0
17/18,Patellar tendon problems,2018-01-01,2018-01-15,14.0,1,Robert Lewandowski,38253,2.0
17/18,Hamstring injury,2017-11-09,2017-11-16,7.0,2,Robert Lewandowski,38253,1.0
17/18,muscular problems,2017-10-30,2017-11-02,3.0,1,Robert Lewandowski,38253,0.4
24/25,Hamstring injury,2025-04-23,2025-05-23,30.0,4,Marcus Rashford,258923,4.3
24/25,Ill,2025-01-04,2025-01-15,11.0,2,Marcus Rashford,258923,1.6
23/24,Ill,2023-12-11,2023-12-13,2.0,1,Marcus Rashford,258923,0.3
22/23,Leg injury,2023-05-11,2023-05-24,13.0,2,Marcus Rashford,258923,1.9
22/23,Muscle injury,2023-04-08,2023-04-19,11.0,3,Marcus Rashford,258923,1.6
22/23,unknown injury,2023-03-19,2023-03-31,12.0,1,Marcus Rashford,258923,1.7
22/23,Muscle injury,2022-09-04,2022-09-19,15.0,3,Marcus Rashford,258923,2.1
21/22,bronchitis,2022-05-04,2022-05-19,15.0,1,Marcus Rashford,258923,2.1
21/22,Dead leg,2022-01-13,2022-01-17,4.0,1,Marcus Rashford,258923,0.6
21/22,Shoulder injury,2021-07-14,2021-10-15,93.0,10,Marcus Rashford,258923,13.3
20/21,Shoulder injury,2020-11-08,2020-11-20,12.0,-,Marcus Rashford,258923,1.7
19/20,Back injury,2020-01-16,2020-06-05,141.0,13,Marcus Rashford,258923,20.1
19/20,Hip injury,2019-09-22,2019-09-30,8.0,3,Marcus Rashford,258923,1.1
18/19,Ankle injury,2019-03-18,2019-03-26,8.0,-,Marcus Rashford,258923,1.1
24/25,Appendicitis,2025-05-14,2025-05-31,17.0,3,Ferran Torres,398184,2.4
24/25,Hamstring injury,2024-10-07,2024-11-29,53.0,12,Ferran Torres,398184,7.6
23/24,Hamstring injury,2024-02-01,2024-03-29,57.0,11,Ferran Torres,398184,8.1
21/22,Corona virus,2022-01-03,2022-01-10,7.0,2,Ferran Torres,398184,1.0
21/22,Metatarsal fracture,2021-10-14,2022-01-10,88.0,22,Ferran Torres,398184,12.6
20/21,Virus,2021-01-01,2021-01-12,11.0,3,Ferran Torres,398184,1.6
18/19,cold,2018-09-30,2018-10-05,5.0,1,Ferran Torres,398184,0.7
22/23,Back injury,2023-04-25,2023-07-26,92.0,10,Jan Oblak,121483,13.1
21/22,Corona virus,2022-01-25,2022-02-01,7.0,-,Jan Oblak,121483,1.0
17/18,Rest,2018-03-15,2018-03-15,0.0,1,Jan Oblak,121483,0.0
17/18,Knock,2018-03-13,2018-03-17,4.0,1,Jan Oblak,121483,0.6
17/18,Wrist injury,2018-03-05,2018-03-08,3.0,1,Jan Oblak,121483,0.4
17/18,influenza,2018-02-12,2018-02-15,3.0,1,Jan Oblak,121483,0.4
16/17,Shoulder injury,2016-12-15,2017-02-20,67.0,15,Jan Oblak,121483,9.6
16/17,Rest,2016-11-28,2016-12-01,3.0,1,Jan Oblak,121483,0.4
24/25,Hamstring injury,2025-06-21,,,4,José María Giménez,250845,
24/25,Muscle injury,2024-12-21,2025-01-20,30.0,5,José María Giménez,250845,4.3
23/24,Muscle injury,2024-02-21,2024-03-29,37.0,7,José María Giménez,250845,5.3
23/24,Hamstring injury,2024-01-28,2024-02-17,20.0,6,José María Giménez,250845,2.9
23/24,Muscle injury,2023-10-03,2023-10-26,23.0,6,José María Giménez,250845,3.3
22/23,Knee injury,2023-05-31,2023-09-14,106.0,8,José María Giménez,250845,15.1
22/23,unknown injury,2023-01-13,2023-01-28,15.0,4,José María Giménez,250845,2.1
22/23,Back problems,2022-09-09,2022-09-28,19.0,5,José María Giménez,250845,2.7
22/23,Tonsillitis,2022-08-07,2022-08-19,12.0,1,José María Giménez,250845,1.7
21/22,Knock,2022-06-10,2022-07-01,21.0,1,José María Giménez,250845,3.0
21/22,Muscle injury,2022-04-03,2022-04-29,26.0,5,José María Giménez,250845,3.7
21/22,Corona virus,2022-02-10,2022-02-15,5.0,1,José María Giménez,250845,0.7
21/22,Muscle injury,2021-12-06,2021-12-31,25.0,4,José María Giménez,250845,3.6
21/22,Adductor pain,2021-10-09,2021-10-18,9.0,2,José María Giménez,250845,1.3
20/21,muscular problems,2021-02-21,2021-03-11,18.0,4,José María Giménez,250845,2.6
24/25,Muscle injury,2024-11-18,2024-12-06,18.0,4,Nahuel Molina,424042,2.6
23/24,Muscle injury,2024-05-05,2024-06-11,37.0,5,Nahuel Molina,424042,5.3
23/24,Muscle injury,2023-07-24,2023-08-18,25.0,1,Nahuel Molina,424042,3.6
21/22,unknown injury,2022-01-14,2022-01-22,8.0,3,Nahuel Molina,424042,1.1
20/21,unknown injury,2020-10-18,2020-10-21,3.0,1,Nahuel Molina,424042,0.4
18/19,Hip injury,2018-12-27,2019-01-29,33.0,?,Nahuel Molina,424042,4.7
18/19,Fitness,2018-09-24,2018-10-18,24.0,6,Nahuel Molina,424042,3.4
24/25,Muscle injury,2025-02-16,2025-04-01,44.0,8,Koke,74229,6.3
23/24,Muscle injury,2023-08-15,2023-09-22,38.0,4,Koke,74229,5.4
22/23,Muscle injury,2022-10-18,2022-11-08,21.0,6,Koke,74229,3.0
21/22,Muscle injury,2022-02-22,2022-03-10,16.0,3,Koke,74229,2.3
21/22,Corona virus,2021-12-30,2022-01-05,6.0,1,Koke,74229,0.9
21/22,Muscle injury,2021-09-17,2021-09-23,6.0,2,Koke,74229,0.9
19/20,Muscle injury,2020-01-10,2020-02-07,28.0,5,Koke,74229,4.0
19/20,Muscle injury,2019-12-18,2020-01-06,19.0,2,Koke,74229,2.7
18/19,Muscle injury,2019-01-20,2019-02-18,29.0,4,Koke,74229,4.1
18/19,Muscle injury,2018-10-28,2018-11-22,25.0,6,Koke,74229,3.6
17/18,Adductor pain,2017-12-30,2018-01-05,6.0,1,Koke,74229,0.9
17/18,Hamstring injury,2017-10-15,2017-11-17,33.0,8,Koke,74229,4.7
15/16,Knock,2016-05-30,2016-06-03,4.0,1,Koke,74229,0.6
15/16,Hamstring strain,2015-09-21,2015-10-15,24.0,6,Koke,74229,3.4
14/15,Muscle tear,2015-02-09,2015-03-05,24.0,4,Koke,74229,3.4
24/25,Hamstring injury,2024-10-03,2024-11-03,31.0,6,Marcos Llorente,282411,4.4
22/23,Muscle injury,2023-04-03,2023-07-30,118.0,13,Marcos Llorente,282411,16.9
21/22,Muscle injury,2022-01-15,2022-02-11,27.0,3,Marcos Llorente,282411,3.9
21/22,Strain in the thigh and gluteal muscles,2021-12-20,2022-01-03,14.0,2,Marcos Llorente,282411,2.0
21/22,Muscle injury,2021-10-24,2021-11-08,15.0,5,Marcos Llorente,282411,2.1
21/22,Muscle injury,2021-10-22,2022-02-13,114.0,23,Marcos Llorente,282411,16.3
21/22,Hamstring injury,2021-10-03,2021-10-18,15.0,2,Marcos Llorente,282411,2.1
18/19,Adductor injury,2019-02-07,2019-03-18,39.0,9,Marcos Llorente,282411,5.6
18/19,Adductor injury,2019-01-01,2019-01-21,20.0,6,Marcos Llorente,282411,2.9
17/18,Shoulder injury,2018-01-12,2018-01-15,3.0,1,Marcos Llorente,282411,0.4
23/24,Ankle injury,2024-02-21,2024-03-12,20.0,4,Antoine Griezmann,125781,2.9
21/22,Muscle injury,2022-01-06,2022-02-21,46.0,9,Antoine Griezmann,125781,6.6
21/22,Corona virus,2021-12-30,2022-01-06,7.0,2,Antoine Griezmann,125781,1.0
21/22,Muscle injury,2021-12-13,2022-01-06,24.0,4,Antoine Griezmann,125781,3.4
19/20,Muscle injury,2020-07-13,2020-08-03,21.0,2,Antoine Griezmann,125781,3.0
17/18,minor knock,2017-12-07,2017-12-14,7.0,1,Antoine Griezmann,125781,1.0
16/17,minor knock,2016-11-14,2016-11-17,3.0,1,Antoine Griezmann,125781,0.4
12/13,ankle sprain,2012-11-04,2012-11-11,7.0,2,Antoine Griezmann,125781,1.0
22/23,Ill,2022-03-04,2022-03-06,2.0,1,Julián Álvarez,576024,0.3
24/25,Hamstring injury,2024-12-13,2024-12-18,5.0,2,Berke Özer,361256,0.7
23/24,Ill,2024-03-04,2024-04-01,28.0,4,Berke Özer,361256,4.0
22/23,unknown injury,2023-04-27,2023-04-29,2.0,1,Berke Özer,361256,0.3
22/23,Fitness,2023-01-12,2023-01-19,7.0,2,Berke Özer,361256,1.0
21/22,Knock,2022-01-15,2022-01-21,6.0,2,Berke Özer,361256,0.9
21/22,Hip problems,2021-11-07,2021-11-19,12.0,3,Berke Özer,361256,1.7
21/22,unknown injury,2021-10-03,2021-10-12,9.0,3,Berke Özer,361256,1.3
21/22,Thigh problems,2021-09-02,2021-09-07,5.0,2,Berke Özer,361256,0.7
19/20,Meniscus tear,2019-11-17,2019-12-23,36.0,8,Berke Özer,361256,5.1
17/18,unknown injury,2018-03-22,2018-03-28,6.0,6,Berke Özer,361256,0.9
17/18,unknown injury,2017-10-24,2017-11-13,20.0,9,Berke Özer,361256,2.9
23/24,Leg injury,2023-11-19,2023-12-15,26.0,7,Aïssa Mandi,80293,3.7
20/21,Corona virus,2020-11-22,2020-12-07,15.0,3,Aïssa Mandi,80293,2.1
16/17,Broken hand,2017-03-28,2017-04-07,10.0,2,Aïssa Mandi,80293,1.4
16/17,Adductor injury,2016-09-20,2016-10-13,23.0,4,Aïssa Mandi,80293,3.3
16/17,bruise,2016-09-02,2016-09-06,4.0,1,Aïssa Mandi,80293,0.6
15/16,Cruciate ligament strain,2015-09-23,2015-11-05,43.0,8,Aïssa Mandi,80293,6.1
23/24,heart problems,2024-06-18,2025-02-12,239.0,36,Nabil Bentaleb,245537,34.1
23/24,Calf injury,2023-09-04,2023-10-09,35.0,8,Nabil Bentaleb,245537,5.0
20/21,Groin surgery,2021-03-16,2021-06-30,106.0,14,Nabil Bentaleb,245537,15.1
20/21,Groin problems,2021-03-05,2021-03-15,10.0,2,Nabil Bentaleb,245537,1.4
19/20,Meniscus tear,2019-09-02,2019-11-20,79.0,16,Nabil Bentaleb,245537,11.3
18/19,Groin problems,2019-03-14,2019-03-18,4.0,1,Nabil Bentaleb,245537,0.6
18/19,Back injury,2019-02-21,2019-02-22,1.0,-,Nabil Bentaleb,245537,0.1
18/19,Hamstring injury,2019-01-16,2019-01-24,8.0,1,Nabil Bentaleb,245537,1.1
17/18,Inflammation of pubic bone,2017-11-06,2017-12-31,55.0,9,Nabil Bentaleb,245537,7.9
17/18,Groin problems,2017-10-02,2017-10-12,10.0,1,Nabil Bentaleb,245537,1.4
17/18,muscle stiffness,2017-09-21,2017-09-28,7.0,1,Nabil Bentaleb,245537,1.0
16/17,Ankle injury,2017-06-08,2017-06-08,0.0,-,Nabil Bentaleb,245537,0.0
16/17,Stomach flu,2017-02-13,2017-02-16,3.0,1,Nabil Bentaleb,245537,0.4
16/17,influenza,2016-12-08,2016-12-08,0.0,1,Nabil Bentaleb,245537,0.0
15/16,Knee surgery,2016-03-17,2016-05-16,60.0,11,Nabil Bentaleb,245537,8.6
18/19,Muscle contusion,2019-02-07,2019-02-13,6.0,1,Benjamin André,84301,0.9
24/25,Leg injury,2025-03-13,2025-03-31,18.0,3,Olivier Giroud,82442,2.6
22/23,Calf problems,2023-04-20,2023-04-27,7.0,1,Olivier Giroud,82442,1.0
21/22,Ankle sprain,2022-03-06,2022-03-10,4.0,1,Olivier Giroud,82442,0.6
21/22,Torn muscle fiber,2021-11-24,2021-12-17,23.0,6,Olivier Giroud,82442,3.3
21/22,Back injury,2021-10-02,2021-10-06,4.0,1,Olivier Giroud,82442,0.6
21/22,Lumbago,2021-09-16,2021-09-23,7.0,2,Olivier Giroud,82442,1.0
21/22,Quarantine,2021-09-11,2021-09-13,2.0,1,Olivier Giroud,82442,0.3
21/22,Corona virus,2021-09-02,2021-09-10,8.0,2,Olivier Giroud,82442,1.1
19/20,Groin injury,2020-01-06,2020-02-16,41.0,5,Olivier Giroud,82442,5.9
19/20,Ankle injury,2019-12-06,2020-01-04,29.0,7,Olivier Giroud,82442,4.1
19/20,Ill,2019-09-27,2019-10-05,8.0,2,Olivier Giroud,82442,1.1
18/19,Ankle injury,2018-12-31,2019-01-11,11.0,3,Olivier Giroud,82442,1.6
18/19,Knock,2018-10-29,2018-11-07,9.0,2,Olivier Giroud,82442,1.3
17/18,Hamstring injury,2017-12-19,2018-01-29,41.0,10,Olivier Giroud,82442,5.9
17/18,Adductor pain,2017-11-12,2017-11-20,8.0,2,Olivier Giroud,82442,1.1
22/23,Meniscus injury,2022-11-14,2022-12-20,36.0,6,Álvaro Valles,417913,5.1
21/22,Corona virus,2021-12-27,2022-01-06,10.0,1,Álvaro Valles,417913,1.4
21/22,Virus,2021-12-11,2021-12-14,3.0,1,Álvaro Valles,417913,0.4
24/25,Inflammation of pubic bone,2024-11-04,2025-03-01,117.0,23,Héctor Bellerín,191217,16.7
22/23,unknown injury,2023-03-08,2023-04-07,30.0,5,Héctor Bellerín,191217,4.3
22/23,Muscle injury,2022-09-27,2022-10-19,22.0,5,Héctor Bellerín,191217,3.1
19/20,Hamstring injury,2019-12-06,2020-01-14,39.0,9,Héctor Bellerín,191217,5.6
19/20,Hamstring injury,2019-11-24,2019-12-04,10.0,2,Héctor Bellerín,191217,1.4
18/19,Cruciate ligament tear,2019-01-19,2019-09-16,240.0,31,Héctor Bellerín,191217,34.3
18/19,Calf strain,2018-12-16,2019-01-11,26.0,7,Héctor Bellerín,191217,3.7
18/19,Muscle injury,2018-10-29,2018-11-02,4.0,1,Héctor Bellerín,191217,0.6
16/17,Ankle injury,2017-01-06,2017-01-16,10.0,2,Héctor Bellerín,191217,1.4
16/17,Ankle injury,2016-11-07,2016-12-10,33.0,9,Héctor Bellerín,191217,4.7
15/16,Groin problems,2015-11-02,2015-11-18,16.0,5,Héctor Bellerín,191217,2.3
24/25,Muscle strain,2025-01-20,2025-02-25,36.0,7,Pablo Fornals,357885,5.1
24/25,Muscle injury,2024-11-20,2024-12-18,28.0,7,Pablo Fornals,357885,4.0
17/18,Hand injury,2018-04-10,2018-04-24,14.0,2,Pablo Fornals,357885,2.0
17/18,Ill,2017-12-09,2017-12-13,4.0,1,Pablo Fornals,357885,0.6
24/25,unknown injury,2025-04-11,2025-05-06,25.0,4,Sofyan Amrabat,287579,3.6
24/25,Stomach flu,2024-11-27,2024-11-30,3.0,1,Sofyan Amrabat,287579,0.4
23/24,unknown injury,2023-08-21,2023-09-20,30.0,7,Sofyan Amrabat,287579,4.3
22/23,Rest,2023-05-20,2023-05-22,2.0,1,Sofyan Amrabat,287579,0.3
22/23,Rest,2023-05-02,2023-05-05,3.0,3,Sofyan Amrabat,287579,0.4
22/23,Lumbago,2023-04-16,2023-04-21,5.0,2,Sofyan Amrabat,287579,0.7
22/23,Back problems,2022-11-01,2022-11-05,4.0,1,Sofyan Amrabat,287579,0.6
21/22,influenza,2022-03-17,2022-03-21,4.0,3,Sofyan Amrabat,287579,0.6
21/22,Pubalgia,2021-07-14,2021-08-23,40.0,2,Sofyan Amrabat,287579,5.7
20/21,Bruised back,2021-03-07,2021-03-21,14.0,3,Sofyan Amrabat,287579,2.0
19/20,Muscle fatigue,2020-07-04,2020-07-07,3.0,1,Sofyan Amrabat,287579,0.4
18/19,Muscle strain,2019-04-26,2019-04-30,4.0,1,Sofyan Amrabat,287579,0.6
18/19,muscular problems,2018-12-25,2018-12-29,4.0,1,Sofyan Amrabat,287579,0.6
18/19,Knock,2018-12-13,2018-12-16,3.0,1,Sofyan Amrabat,287579,0.4
18/19,Ankle injury,2018-09-27,2018-10-08,11.0,3,Sofyan Amrabat,287579,1.6
25/26,Broken fibula,2025-08-10,2025-11-10,92.0,16,Isco,85288,13.1
24/25,Broken fibula,2024-09-06,2024-12-06,91.0,18,Isco,85288,13.0
23/24,Broken fibula,2024-05-17,2024-09-05,111.0,7,Isco,85288,15.9
23/24,Torn muscle bundle,2024-02-04,2024-03-24,49.0,9,Isco,85288,7.0
21/22,influenza,2022-05-02,2022-05-19,17.0,4,Isco,85288,2.4
21/22,Ill,2022-04-11,2022-04-14,3.0,1,Isco,85288,0.4
21/22,Back problems,2022-03-31,2022-04-07,7.0,2,Isco,85288,1.0
21/22,Corona virus,2021-12-16,2021-12-30,14.0,2,Isco,85288,2.0
21/22,Back problems,2021-10-04,2021-10-28,24.0,3,Isco,85288,3.4
20/21,minor knock,2021-02-04,2021-02-08,4.0,1,Isco,85288,0.6
20/21,ankle sprain,2020-09-07,2020-09-24,17.0,1,Isco,85288,2.4
19/20,Muscle injury,2020-06-18,2020-06-22,4.0,2,Isco,85288,0.6
19/20,Lumbago,2020-03-09,2020-03-12,3.0,-,Isco,85288,0.4
19/20,Hamstring muscle injury,2019-08-29,2019-09-30,32.0,6,Isco,85288,4.6
18/19,Back problems,2019-02-07,2019-02-25,18.0,4,Isco,85288,2.6
22/23,Thigh problems,2022-09-09,2022-09-27,18.0,3,Jordan Pickford,130164,2.6
21/22,Shoulder injury,2021-09-13,2021-09-27,14.0,4,Jordan Pickford,130164,2.0
20/21,Chest injury,2021-01-28,2021-02-18,21.0,6,Jordan Pickford,130164,3.0
16/17,Knee injury,2016-12-26,2017-02-27,63.0,17,Jordan Pickford,130164,9.0
25/26,Muscle injury,2025-08-01,,,4,Nathan Patterson,424015,
24/25,Hamstring injury,2025-02-03,2025-02-28,25.0,5,Nathan Patterson,424015,3.6
23/24,Thigh problems,2024-04-15,2024-09-21,159.0,21,Nathan Patterson,424015,22.7
22/23,Knee injury,2023-01-03,2023-01-03,0.0,1,Nathan Patterson,424015,0.0
22/23,Ankle injury,2022-09-21,2022-10-26,35.0,7,Nathan Patterson,424015,5.0
21/22,Ankle surgery,2022-04-05,2022-06-06,62.0,11,Nathan Patterson,424015,8.9
21/22,Quarantine,2021-08-27,2021-09-08,12.0,4,Nathan Patterson,424015,1.7
20/21,Quarantine,2021-06-01,2021-06-04,3.0,1,Nathan Patterson,424015,0.4
20/21,Quarantine,2021-02-14,2021-02-23,9.0,2,Nathan Patterson,424015,1.3
24/25,Hamstring injury,2025-04-21,2025-07-14,84.0,5,James Tarkowski,173504,12.0
20/21,Toe injury,2020-09-16,2020-09-29,13.0,4,James Tarkowski,173504,1.9
18/19,Groin injury,2018-11-04,2018-11-30,26.0,4,James Tarkowski,173504,3.7
18/19,Groin strain,2018-10-07,2018-10-19,12.0,2,James Tarkowski,173504,1.7
18/19,Groin strain,2018-10-01,2018-10-05,4.0,-,James Tarkowski,173504,0.6
17/18,Knock,2018-05-26,2018-08-11,77.0,12,James Tarkowski,173504,11.0
17/18,Groin strain,2018-01-22,2018-02-10,19.0,3,James Tarkowski,173504,2.7
15/16,Nose injury,2015-08-15,2015-08-22,7.0,2,James Tarkowski,173504,1.0
14/15,Back injury,2015-02-10,2015-02-21,11.0,3,James Tarkowski,173504,1.6
25/26,Hamstring injury,2025-08-10,,,4,Jarrad Branthwaite,661053,
24/25,Groin injury,2024-10-03,2024-10-20,17.0,4,Jarrad Branthwaite,661053,2.4
24/25,Groin surgery,2024-08-01,2024-09-30,60.0,10,Jarrad Branthwaite,661053,8.6
24/25,Groin injury,2024-07-18,2024-09-14,58.0,7,Jarrad Branthwaite,661053,8.3
22/23,Hamstring strain,2023-03-20,2023-04-06,17.0,4,Jarrad Branthwaite,661053,2.4
22/23,Ill,2022-11-01,2022-11-04,3.0,1,Jarrad Branthwaite,661053,0.4
22/23,unknown injury,2022-10-07,2022-10-14,7.0,2,Jarrad Branthwaite,661053,1.0
22/23,Fitness,2022-07-17,2022-08-04,18.0,2,Jarrad Branthwaite,661053,2.6
21/22,Ankle surgery,2021-07-01,2021-08-02,32.0,3,Jarrad Branthwaite,661053,4.6
20/21,Ankle injury,2020-09-16,2020-11-01,46.0,13,Jarrad Branthwaite,661053,6.6
24/25,Knee injury,2024-12-13,2025-04-02,110.0,18,Dwight McNeil,584769,15.7
23/24,Ankle injury,2023-07-29,2023-09-01,34.0,4,Dwight McNeil,584769,4.9
20/21,Groin injury,2020-12-22,2021-01-11,20.0,3,Dwight McNeil,584769,2.9
19/20,Knock,2020-01-02,2020-01-10,8.0,1,Dwight McNeil,584769,1.1
19/20,Hamstring strain,2019-09-26,2019-09-27,1.0,-,Dwight McNeil,584769,0.1
19/20,Hamstring injury,2019-09-01,2019-09-13,12.0,2,Dwight McNeil,584769,1.7
21/22,Corona virus,2022-01-12,2022-01-15,3.0,2,Idrissa Gueye,126665,0.4
21/22,Corona virus,2021-08-01,2021-08-16,15.0,3,Idrissa Gueye,126665,2.1
20/21,Hamstring injury,2020-10-20,2020-10-25,5.0,2,Idrissa Gueye,126665,0.7
20/21,Ankle injury,2020-09-20,2020-10-02,12.0,3,Idrissa Gueye,126665,1.7
19/20,Hamstring injury,2019-12-09,2020-01-01,23.0,4,Idrissa Gueye,126665,3.3
19/20,Groin injury,2019-10-11,2019-10-28,17.0,3,Idrissa Gueye,126665,2.4
19/20,Rest,2019-09-24,2019-09-26,2.0,1,Idrissa Gueye,126665,0.3
18/19,Groin strain,2019-01-27,2019-02-05,9.0,2,Idrissa Gueye,126665,1.3
18/19,Groin strain,2018-12-12,2018-12-25,13.0,2,Idrissa Gueye,126665,1.9
18/19,Ankle injury,2018-10-15,2018-10-20,5.0,1,Idrissa Gueye,126665,0.7
18/19,Knee injury,2018-08-25,2018-09-16,22.0,5,Idrissa Gueye,126665,3.1
11/12,Hand injury,2011-11-23,2011-12-08,15.0,3,Idrissa Gueye,126665,2.1
24/25,Back injury,2024-10-18,2025-01-24,98.0,15,James Garner,505219,14.0
22/23,Back injury,2022-11-12,2023-02-09,89.0,8,James Garner,505219,12.7
19/20,unknown injury,2019-08-30,2019-09-10,11.0,7,James Garner,505219,1.6
23/24,Hamstring muscle injury,2024-03-06,2024-04-01,26.0,3,Carlos Alcaraz,748319,3.7
21/22,Torn muscle bundle,2022-06-09,2022-07-06,27.0,6,Carlos Alcaraz,748319,3.9
24/25,Muscle injury,2024-09-23,2024-09-27,4.0,1,David Raya,262749,0.6
21/22,Knee injury,2021-10-25,2022-02-04,102.0,19,David Raya,262749,14.6
25/26,Ankle injury,2025-08-31,2025-09-28,28.0,6,William Saliba,495666,4.0
24/25,Hamstring injury,2025-01-17,2025-01-24,7.0,2,William Saliba,495666,1.0
23/24,Toe injury,2023-10-09,2023-10-19,10.0,2,William Saliba,495666,1.4
22/23,Back injury,2023-03-16,2023-06-20,96.0,16,William Saliba,495666,13.7
19/20,Metatarsal fracture,2019-11-04,2020-01-20,77.0,19,William Saliba,495666,11.0
18/19,Hamstring injury,2019-05-23,2019-09-28,128.0,22,William Saliba,495666,18.3
25/26,Knock,2025-08-17,,,3,Ben White,335721,
24/25,Knee problems,2025-04-21,2025-04-28,7.0,1,Ben White,335721,1.0
24/25,unknown injury,2025-04-11,2025-04-15,4.0,1,Ben White,335721,0.6
24/25,Knee surgery,2024-11-11,2025-02-10,91.0,21,Ben White,335721,13.0
24/25,Knee injury,2024-09-23,2024-10-07,14.0,4,Ben White,335721,2.0
23/24,Knee injury,2023-11-09,2023-11-20,11.0,1,Ben White,335721,1.6
21/22,Hamstring injury,2022-04-25,2022-05-15,20.0,3,Ben White,335721,2.9
24/25,Hamstring injury,2025-02-06,2025-03-07,29.0,4,Gabriel,655488,4.1
23/24,Foot injury,2024-03-05,2024-03-29,24.0,4,Gabriel,655488,3.4
23/24,Hamstring injury,2023-09-17,2023-10-07,20.0,6,Gabriel,655488,2.9
22/23,Ankle injury,2023-05-14,2023-06-01,18.0,3,Gabriel,655488,2.6
20/21,Ankle injury,2021-01-09,2021-01-17,8.0,2,Gabriel,655488,1.1
19/20,Knee injury,2020-06-21,2020-12-18,180.0,37,Gabriel,655488,25.7
19/20,Knock,2020-02-20,2020-02-25,5.0,2,Gabriel,655488,0.7
19/20,Hamstring injury,2019-12-23,2020-01-06,14.0,4,Gabriel,655488,2.0
24/25,Ill,2025-01-24,2025-01-28,4.0,1,Martin Ødegaard,316264,0.6
24/25,Ankle sprain,2024-09-09,2024-11-04,56.0,14,Martin Ødegaard,316264,8.0
23/24,Hip injury,2023-11-03,2023-11-22,19.0,5,Martin Ødegaard,316264,2.7
20/21,Ankle injury,2021-04-05,2021-04-20,15.0,4,Martin Ødegaard,316264,2.1
20/21,Knock,2021-01-16,2021-01-29,13.0,2,Martin Ødegaard,316264,1.9
